verdict	http	https	url
fail	ERR	ERR	http://www.radford.edu/~jaspelme/443/spring-2007/Articles/Jones_n_Harris_1967.pdf
http-only	200	ERR	http://www.richrock.com/gifs/optical-illusion-wheels-circles-rotating.png
ok-https	200	200	http://www.slate.com/articles/arts/egghead/2002/02/thinkinginside_the_boxes.single.html
fail	503	ERR	http://www.spaceandgames.com/?p=27
ok-https	200	200	http://www.spectacle.org/1095/stop1.html
ok-https	200	200	http://www.spectacle.org/yearzero/godvgod.html
ok-https	200	200	http://www.theregister.co.uk/2007/12/04/wikipedia_secret_mailing
ok-https	200	200	http://www.theregister.co.uk/2007/12/06/wikipedia_and_overstock
ok-https	200	200	http://www.youtube.com/watch?v=iYhCn0jf46U
ok-https	200	200	http://yudkowsky.net/singularity/simplified
